refid,Reference
1,https://www.sigmaaldrich.com/US/en/technical-documents/technical-article/analytical-chemistry/photometry-and-reflectometry/ir-spectrum-table
2,https://chem.libretexts.org/Ancillary_Materials/Reference/Reference_Tables/Spectroscopic_Reference_Tables/Infrared_Spectroscopy_Absorption_Table
